Recital	Forces Unformatted	Attribute (Dropdown)	Parent Heading (Dropdown)	Formatted Force (Autogenerated)	Patterns with Hyperlinks (HTML)	General Category	Art Title	Art. Link (Autogen)	Art.
98, 99, A41	Codes of Conduct	Codes of Conduct	Principles of data protection	Codes of Conduct
41, 45	Legal obligations to process personal data	Legal Obligation	Legal grounds to process personal data	Legal obligations to process personal data
85, 86, 87, 88	How to handle potential data breaches	Breach	Informing users of your system	How to handle potential data breaches
100, 166, A43	Data protection certification	Certification	Principles of data protection	Data protection certification
81, 95	Outsourced processing to another entity	Protection, Impact Assessment	Forces for processing which can be used to personally identify any users	Outsourced processing to another entity
103, 107, 169, A96, 111, 101, 108, 109, 110, 114, 115	Personal data which needs to be processed in a third country	Adequacy Decision, Regulation, Legitimate Interest	Outsourced processing to another entity	Personal data which needs to be processed in a third country
71, 72	Processing which results in automated decisions or assessments	Automated Processing	Processing which might pose a high risk to the rights of users	Processing which results in automated decisions or assessments
112, 46	Processing personal data for vital interests of a person	Public Interest, Vital Interest	Legal grounds to process personal data	Processing personal data for vital interests of a person
156, 154, 163, 73	Personal data processed because of public interest	Public Interest	Legal grounds to process personal data	Personal data processed because of public interest
158, 160	Processing for archiving purposes and general public interest	Public Interest, All	Personal data processed because of public interest	Processing for archiving purposes and general public interest
159, 162, 153, 157	Processing personal data solely for journalistic, academic or artistic purposes	Public Interest	Personal data processed because of public interest	Processing personal data solely for journalistic, academic or artistic purposes
38	Children	Minors	Forces for processing which can be used to personally identify any users	Children
97, 75, 89, 94	Processing which might pose a high risk to the rights of users		Legal grounds to process personal data	Processing which might pose a high risk to the rights of users
34, 35, 161, A10, A87, 51	Processing sensitive data	Special Category	Processing which might pose a high risk to the rights of users	Processing sensitive data
#N/A	Having or seeking to acquire user consent		Legal grounds to process personal data	Having or seeking to acquire user consent
#N/A	Making use of other legitimate interests		Legal grounds to process personal data	Making use of other legitimate interests
19, 6, 15, 80, 74, 79, 1	Forces for processing which can be used to personally identify any users	All		Forces for processing which can be used to personally identify any users
